Job Title,Job Url,Company,Location,Summary,Posting Date,Desc
Warehouse Operative/Delivery Driver,http://www.indeed.com/company/Y-&-C-Wholesale/jobs/Warehouse-Operative-Delivery-Driver-63db2391483c6d0b?fccid=07a39945fdbfbcb0&vjs=3,Y&C wholesale,London,"Y&C Wholesale is looking for a responsible warehouse operative and delivery driver with experience.
Workdays are Sunday to Friday 8am – 5pm*.",1 day ago,"NO Agencies!Y&C Wholesale is looking for a responsible warehouse operative and delivery driver with experienceWorkdays are Sunday to Friday 8am – 5pmYour role as a Warehouse Operative· Accurate picking orders· Rotate floor stock· Delivering customer orders· Loading and unloading containers/trucks· Use pump truck to move stock· Operating Forklifts in accordance with safety standards· Heavy lifting is required· Build and wrap pallets· Maintain housekeeping standards· Stock integrity checksYour role will not be exclusive to the above points and we ask that all candidates are flexible in everything they do.Job Type: Full-timeSalary: £23,000.00-£24,000.00 per monthExperience:warehouse: 5 years (Required)Location:London, Greater London (Required)"
Warehouse Picker Hemel Hempstead,http://www.indeed.com/rc/clk?jk=51277fe82068b4ab&fccid=9f4d78e8d80da0a0&vjs=3,Vitabiotics,London,"Picking and packing customer goods and orders.
Ensuring you maintain our high standard of health and safety.
Take responsibility for working through your orders…",30+ days ago,"Vitabiotics, winner of The Queen’s Awards for Enterprise in International trade is one of the most dynamic and fastest growing major vitamin companies in the UK and internationally with exports to over 100 countries. Our leading brands include Perfectil, Osteocare®, Pregnacare®, Wellwoman and Wellman®.Our expanding Warehouse Department is seeking a motivated Picker to perform various warehouse tasks. These include:Key responsibilities:Picking and packing customer goods and ordersStock replenishmentReporting any damaged items to your team leaderEnsuring you maintain our high standard of health and safetyTake responsibility for working through your orders independentlyYou must have:Good written and verbal communication skillsPrevious warehouse experienceExperience working within a fast paced environmentKnowledge of Microsoft Excel, Outlook and WordGood timekeeping"
Warehouse Operative (Night),http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CG55A_bCfnCMAQX8Ee_T5td904ChFtKvYZF0sTO0YjVK3eZwzTYMZruF-yrtXlSXZxfxT6YANpniCyBR0OqSK2KgRrRdZhQ04ibfaH2fnmNWX54AOG1QOOMBkCI8_USgF500FEh7QkzVe3wLVYCOSwl9mgNiswFl1ftEaE_ik0Sxr0Mh3XtgejBx6TaN3jkz9572zmL14afsCj82ywBFklEFpXYxiHaqsPH2qBpCIKBqxrX2Z7jpJqidI56fWoI2HkCN_o2wr64YdEZQEaRQ-1Og9_6k3pSYALcPGGEhcgiLCYbLYdUsRqeDn7ORcZkC_kBlDz343fFBYZlotm_3_emknXuACNbc3ESqBAXaNFAcg1p4TGmbJMgykEiJtSK2s5p1_NMniO4Y6KagvuF9Yc1S6LZWSkgig8WkXfXDWNMwx8djl-y5sDh_ZPP0C5KN8si1bFGuV05Ep0q2IyQgLlfqnbT39zAXg32IF8ONoqr1A4aO5AttCFuS9Hl33PJ2BBxcAS6HZF8POhkUqa7uRX&p=12&fvj=0&vjs=3,Berry Recruitment Ltd,Potters Bar,"You will be required to load and unload HGV vehicles so the vehicles are ready for the driver to deliver the goods the next day.
Job starts on the 05/01/2021.",4 days ago,"Berry Recruitment are currently working with a client in the Potters Bar area who require Night Loaders for their Warehouse.Job starts on the 05/01/2021You will be required to load and unload HGV vehicles so the vehicles are ready for the driver to deliver the goods the next day.This shift is to work between 00:00AM-08:30 am. This will be on a rota basis of 4 days on and then 2 days off.The rate of pay is £10.50 per hour and is a ongoing role.You should ideally have your own transport or live in close proximity of the Potter Bar area.If this opportunity is of interest please apply now or call Bilal in the Hendon branch of Berry Recruitment.Please note that no terminology in this advert is intended to discriminate on the grounds of a person's gender, marital status, race, religion, colour, age, disability or sexual orientation. Every candidate will be assessed only in accordance with their merits, qualifications and ability to perform the duties of the job."
Warehouse Operative,http://www.indeed.com/company/acumedic/jobs/Warehouse-Operative-7d7d16932fce632a?fccid=01b3c122d38ab757&vjs=3,AcuMedic Ltd.,London,"It will be an immediate start.
Main responsibilities include packing orders and products which mainly are loose leaf teas; using small packaging machinery;…",1 day ago,"Hi, we are looking to hire a full time warehouse operative to join our existing team in Colindale NW9. It will be an immediate start. Main responsibilities include packing orders and products which mainly are loose leaf teas; using small packaging machinery; unloading deliveries when needed; dealing with transfers between two premises in and out; stock control when needed; labelling products; dispatch and etc. You need to be very confident using a computer and work on data systems.The ideal candidate we are looking for should be computer literate, logic thinking, hard working, very honest and trustworthy, reliable and punctual. Warehouse operative experience is preferred. Training will be provided. We offer £18,500 annually. Sunday to Thursday 8:00am-4:30pm.TO MAKE SURE YOU CAN BE POTENTIALLY SHORT-LISTED YOU NEED TOa) send a copy of your CVb) please list 3 reasons explaining why you are suited for the job.Only short-listed candidates will be contacted within five working days. Please do not re-apply if you applied and didn't hear from us previously. Thank you very much. We look forward to hearing from you.Application deadline: 17/01/2021Expected start date: 01/02/2021Job Types: Full-time, PermanentSalary: From £18,500.00 per yearCOVID-19 considerations:To keep our staff safe, Covid Secure risk assessment has been done. Face masks, gloves, hand sanitiser, social distance and own work space are provided.Work remotely:No"
Warehouse Operative (Amazon),http://www.indeed.com/company/Action-West-London/jobs/Warehouse-Operative-e5a31ebada28baf5?fccid=74dedad94c365997&vjs=3,Action West London,Wembley,"You may have worked in a similar factory setting before, such as a Royal Mail or Tesco Warehouse, or perhaps you have no experience in this area - most…",2 days ago,"*What's on offer?** £9.50 per hour (days) to £11.21 per hour (nights)* Overtime rates between £14.25 per hour and £19.00 per hour* Fixed shift patterns so you always know when you'll be working - weekdays, weekends, full time or part time (where applicable), day shifts and night shifts* Full training provided on site.* Free hot drinks, car parking on site, transport available from some locations and agency employee benefit schemes.*Join our seasonal* *team!*We are currently looking to hire Warehouse Associates to help us continue delivering packages and smiles to customers. You could be working as a handler, picker or packer helping dispatch parcels; working to the highest standards to make sure we exceed our customers' expectations.*Why work at Amazon?*As well as great rates of pay, as a Warehouse Operative at Amazon, your safety and wellbeing come first. You'll be in a world class work environment and will benefit from full training provided by Amazon and ongoing support from your agency. Innovative shift patterns mean there's always a schedule to suit you!*About You*Successful candidates will have a strong work ethic, attention to detail and the ability to work in a fast-paced environment. You may have worked in a similar factory setting before, such as a Royal Mail or Tesco Warehouse, or perhaps you have no experience in this area - most importantly, you'll bring a true commitment to customer service and a keen desire to help to deliver a first-class Amazon experience.Reference ID: AWL/2021-AZNJob Types: Full-time, Contract, PermanentSalary: £9.50-£11.21 per hourSchedule:10 hour shift12 hour shiftDay shiftNight shiftOvertimeWeekendsExperience:warehouse: 1 year (Preferred)Location:Wembley, Greater London (Preferred)Work remotely:No"
Warehouse Operative,http://www.indeed.com/company/acumedic/jobs/Warehouse-Operative-7d7d16932fce632a?fccid=01b3c122d38ab757&vjs=3,AcuMedic Ltd.,London,"It will be an immediate start.
Main responsibilities include packing orders and products which mainly are loose leaf teas; using small packaging machinery;…",1 day ago,"Hi, we are looking to hire a full time warehouse operative to join our existing team in Colindale NW9. It will be an immediate start. Main responsibilities include packing orders and products which mainly are loose leaf teas; using small packaging machinery; unloading deliveries when needed; dealing with transfers between two premises in and out; stock control when needed; labelling products; dispatch and etc. You need to be very confident using a computer and work on data systems.The ideal candidate we are looking for should be computer literate, logic thinking, hard working, very honest and trustworthy, reliable and punctual. Warehouse operative experience is preferred. Training will be provided. We offer £18,500 annually. Sunday to Thursday 8:00am-4:30pm.TO MAKE SURE YOU CAN BE POTENTIALLY SHORT-LISTED YOU NEED TOa) send a copy of your CVb) please list 3 reasons explaining why you are suited for the job.Only short-listed candidates will be contacted within five working days. Please do not re-apply if you applied and didn't hear from us previously. Thank you very much. We look forward to hearing from you.Application deadline: 17/01/2021Expected start date: 01/02/2021Job Types: Full-time, PermanentSalary: From £18,500.00 per yearCOVID-19 considerations:To keep our staff safe, Covid Secure risk assessment has been done. Face masks, gloves, hand sanitiser, social distance and own work space are provided.Work remotely:No"
Warehouse Operative (Amazon),http://www.indeed.com/company/Action-West-London/jobs/Warehouse-Operative-e5a31ebada28baf5?fccid=74dedad94c365997&vjs=3,Action West London,Wembley,"You may have worked in a similar factory setting before, such as a Royal Mail or Tesco Warehouse, or perhaps you have no experience in this area - most…",2 days ago,"*What's on offer?** £9.50 per hour (days) to £11.21 per hour (nights)* Overtime rates between £14.25 per hour and £19.00 per hour* Fixed shift patterns so you always know when you'll be working - weekdays, weekends, full time or part time (where applicable), day shifts and night shifts* Full training provided on site.* Free hot drinks, car parking on site, transport available from some locations and agency employee benefit schemes.*Join our seasonal* *team!*We are currently looking to hire Warehouse Associates to help us continue delivering packages and smiles to customers. You could be working as a handler, picker or packer helping dispatch parcels; working to the highest standards to make sure we exceed our customers' expectations.*Why work at Amazon?*As well as great rates of pay, as a Warehouse Operative at Amazon, your safety and wellbeing come first. You'll be in a world class work environment and will benefit from full training provided by Amazon and ongoing support from your agency. Innovative shift patterns mean there's always a schedule to suit you!*About You*Successful candidates will have a strong work ethic, attention to detail and the ability to work in a fast-paced environment. You may have worked in a similar factory setting before, such as a Royal Mail or Tesco Warehouse, or perhaps you have no experience in this area - most importantly, you'll bring a true commitment to customer service and a keen desire to help to deliver a first-class Amazon experience.Reference ID: AWL/2021-AZNJob Types: Full-time, Contract, PermanentSalary: £9.50-£11.21 per hourSchedule:10 hour shift12 hour shiftDay shiftNight shiftOvertimeWeekendsExperience:warehouse: 1 year (Preferred)Location:Wembley, Greater London (Preferred)Work remotely:No"
Warehouse Assistant,http://www.indeed.com/company/Tropic-Skin-Care-Ltd/jobs/Warehouse-Assistant-04c0be0d0f2b4cf9?fccid=5ae2e986d65fad6b&vjs=3,Tropic Skincare Ltd,Croydon,"Current Flexi/Bendi truck licence holder.
Keeping warehouse and locations tidy and undertaking any other housekeeping duties as required.",2 days ago,"We are a multi award-winning, vegan and cruelty-free beauty brand with a range of products that are freshly made using sustainably sourced premium, natural ingredients every day in our Tropic Kitchen.Tropic began life with a homemade body scrub sold at a stall at London’s Greenwich Market when founder, Susie Ma, was just 15 years old. Today, we have a family of over 20,000 Tropic Ambassadors, our range includes over 200 products with Tropic featuring in numerous publications, from beauty blogs to national magazines, as well as winning over 180 awards to date.We are currently seeking a team of Warehouse Assistants to join our expanding Warehouse Team.The ideal candidate will be: · Passionate about delivering a high standard of work as a Warehouse Assistant in a busy warehouse environment.· Required to work independently on your own initiative, and as part of a team, carrying out all warehouse assistant duties.· A Team Player· Self-Motivated· Keeping warehouse and locations tidy and undertaking any other housekeeping duties as required.· Picking and packing with a high level of accuracy, Wrapping palletsThe ideal candidate will have: · Ability to be flexible based on the needs of the business· Fluent written and spoken English language skills· Efficiency and Organisation skills· A great eye for detail· Good mental arithmetic skills· Good Work Ethic· Good Communication skills· In date Flexi-Bendi Licence· Current Flexi/Bendi truck licence holder· Basic understanding of FIFO· WMS & IR Scanner experience (Preferred).· In date Counter-Balance Forklift Training (Preferred)· High-Level order picker training (preferred)Other Information: · Full training on products and SOPs.· NEST Pension scheme, Staff Discount on company productsThe job is available for an immediate start working a shift pattern of 4 days on 4 days off with overtime available subject to business need.Job Types: Full-time, PermanentSalary: £8.75-£10.75 per hourBenefits:Casual dressCompany pensionEmployee discountOn-site parkingSchedule:12 hour shiftExperience:Warehouse experience: 1 year (Required)Work remotely:No"
Warehouse Worker/Driver,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AdNyjcvYZ2UjupFIFQWifwy_I8WQcwKKj1Nj8yy0tWI0gynhnP0Iul7Os8snEabe5FBfboYE5HobBtuWvZ-E0ckqt8wtbniCdZEAgtFMSSqTzjByAT3pS4kT4Kwcoz9VZtRJGIYwBLpNfea5J8X7i0sVfgtZzWMzp86xZl4gFWF4xloCa2DznaOIHRh3tBXQNTcjHA-0OFVJNIR5wwwdzbUDPjOQtLkqosa6fiE7WyrhEy2LKFzO0bz-6FHmJLSb4stnpHYERL7byxE5mqACw4u2wQweUh_AMJCSyMuGxNU_mO1mgoB3DVUybB4Q10agNyeAUnx14AF-p9HJEhCsgMblNgGgJ0NxSITO1JLgQKp2-Gr75ZbxXaoQXZsmxdmwFBFA71aAkbe-OzJKmzlGESDQ8V6LdX9hQSiRT4_b1APKI6Vw_VvtkutTVTWxBnPvM=&p=3&fvj=1&vjs=3,Steins Foods,Watford,"\* Delivering Goods to retail customers around London.
We are located 10 minutes’ walk from the Metropolitan Line with good bus and train links.",7 days ago,"We are currently recruiting for a new member of staff to join our small family style business. Responsibilities will include:* Delivering Goods to retail customers around London* Pick & Pack orders* Loading & Offloading Vehicles* Labelling goodsIf you want to join our company’s family and become part of a small but significant team, get in touch nowWe are located 10 minutes’ walk from the Metropolitan Line with good bus and train links.Monday to Friday 7am to 4pm28 days holiday per yearJob Types: Full-time, PermanentSalary: £21,000.00-£24,000.00 per yearLicence:Driving (Required)Work remotely:No"
Warehouse Operative,http://www.indeed.com/company/LONGDAN/jobs/Warehouse-Operative-a8f7f1ddfd388089?fccid=3a533f6b639a214c&vjs=3,LONGDAN LTD,East London,"Experience and skills required including Reach Truck and Counter Balance Forklift valid licences, good attention to detail and ability to plan and organise work…",22 days ago,"We are looking for an experienced Warehouse Operative to join our busy team in Leyton.Skills in Reach Truck and Counter Balance Forklift is required.The ideal candidate will be responsible for picking orders ready for despatch, loading and unloading goods including containers, performing regular stock checks and other general warehouse and yard duties.Candidate needs to be reliable, punctual, trustworthy, hardworking and able to work as part of a team.This role will involve some moderate to heavy lifting, so you need to be physically fit and have good awareness of Health & Safety procedures.Experience and skills required including Reach Truck and Counter Balance Forklift valid licences, good attention to detail and ability to plan and organise work. Candidates with a prior warehouse experience would be preferred.Applicants must be eligible to work in the UK and have good English language skill.Job Types: Full-time, PermanentSalary: From £8.72 per hourSchedule:8 hour shiftMonday to FridayJob Duties:Rotate floor stockGeneral housekeeping duties in the warehouse or production area and duties as assignedPerform general warehouse duties in order to maintain a smooth operationUse common warehouse management softwareWork remotely:No"
Warehouse Assistant,http://www.indeed.com/rc/clk?jk=305951cda041bcaf&fccid=032ae69c77df876c&vjs=3,Wolseley,Thamesmead,"Locating stock in the warehouse.
Previous experience in a warehouse or customer service role would be advantageous.
Picking and packing customer orders.",14 days ago,"Our busy branch in Thamesmead is looking for a friendly Warehouse Assistant to join their hardworking team.You'll be working 40 hours a week, Monday to Friday 7.30am to 4.30pm.About the RoleMain duties are:Booking stock inPicking and packing customer ordersLoading vehicles for deliveryReplenishing stockMaintaining great health and safetyLocating stock in the warehouseOccasionally serving customers on the trade counterAbout YouPrevious experience in a warehouse or customer service role would be advantageous.Product or industry knowledge will be an advantage for this role to ensure we can give our customers the best possible service, but full training will be provided.People who succeed in this role are confident and flexible with a good eye for detail. If this sounds like you then we’d love to hear from you.About your development and benefitsWe aim to unlock your potential and equip you with all the skills required to move to the next stage in your career with us. This all starts with your induction where you get to know us and our business and continues with relevant training and development.Our people get benefits including:pension planHoliday - 22 daysstaff discountprofit share"
